#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2020-02-07, 13:56:12
# Real time (s): 551.195
# Live time (s): 300.000
#
# Total counts:  38592908
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  81372
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
730	1465.662	5369	17.8967
731	1467.704	5767	19.2233
732	1469.746	5934	19.78
733	1471.788	5770	19.2333
734	1473.831	6049	20.1633
735	1475.873	6227	20.7567
736	1477.915	6333	21.11
737	1479.957	6483	21.61
738	1481.999	6485	21.6167
739	1484.041	6548	21.8267
740	1486.084	6534	21.78
741	1488.126	6589	21.9633
742	1490.168	6509	21.6967
743	1492.210	6596	21.9867
744	1494.252	6338	21.1267
745	1496.294	6244	20.8133
746	1498.337	6178	20.5933
747	1500.379	6130	20.4333
748	1502.421	5983	19.9433
749	1504.463	5971	19.9033
750	1506.505	5676	18.92
751	1508.547	5563	18.5433
752	1510.590	5303	17.6767
753	1512.632	5040	16.8
754	1514.674	4920	16.4
755	1516.716	4558	15.1933
756	1518.758	4455	14.85
757	1520.800	4213	14.0433
758	1522.843	3992	13.3067
759	1524.885	3662	12.2067
760	1526.927	3472	11.5733
761	1528.969	3333	11.11
762	1531.011	3062	10.2067
763	1533.053	2795	9.31667
764	1535.096	2597	8.65667
765	1537.138	2463	8.21
766	1539.180	2331	7.77
767	1541.222	2188	7.29333
768	1543.264	1913	6.37667
769	1545.306	1720	5.73333
770	1547.349	1654	5.51333
771	1549.391	1427	4.75667
772	1551.433	1326	4.42
773	1553.475	1206	4.02
774	1555.517	1149	3.83
775	1557.559	1043	3.47667
776	1559.602	961	3.20333
777	1561.644	869	2.89667
778	1563.686	762	2.54
779	1565.728	743	2.47667
780	1567.770	656	2.18667
781	1569.812	667	2.22333
782	1571.855	625	2.08333
783	1573.897	605	2.01667
784	1575.939	547	1.82333
785	1577.981	545	1.81667
786	1580.023	534	1.78
787	1582.065	495	1.65
788	1584.108	531	1.77
789	1586.150	500	1.66667
790	1588.192	516	1.72
791	1590.234	515	1.71667
792	1592.276	539	1.79667
793	1594.318	553	1.84333
794	1596.361	554	1.84667
795	1598.403	600	2
796	1600.445	607	2.02333
797	1602.487	691	2.30333
798	1604.529	691	2.30333
799	1606.571	697	2.32333
800	1608.614	791	2.63667
801	1610.656	805	2.68333
802	1612.698	970	3.23333
803	1614.740	992	3.30667
804	1616.782	1124	3.74667
805	1618.824	1176	3.92
806	1620.867	1179	3.93
807	1622.909	1272	4.24
808	1624.951	1481	4.93667
809	1626.993	1495	4.98333
810	1629.035	1618	5.39333
811	1631.077	1733	5.77667
812	1633.120	1888	6.29333
813	1635.162	1995	6.65
814	1637.204	2190	7.3
815	1639.246	2328	7.76
816	1641.288	2345	7.81667
817	1643.330	2709	9.03
818	1645.373	2774	9.24667
819	1647.415	2846	9.48667
820	1649.457	3025	10.0833
821	1651.499	3181	10.6033
822	1653.541	3480	11.6
823	1655.583	3589	11.9633
824	1657.626	3748	12.4933
825	1659.668	3851	12.8367
826	1661.710	3958	13.1933
827	1663.752	4213	14.0433
828	1665.794	4423	14.7433
829	1667.836	4511	15.0367
830	1669.879	4585	15.2833
831	1671.921	4777	15.9233
832	1673.963	4854	16.18
833	1676.005	4937	16.4567
834	1678.047	5035	16.7833
835	1680.089	5077	16.9233
836	1682.132	5058	16.86
837	1684.174	5196	17.32
838	1686.216	5258	17.5267
839	1688.258	5160	17.2
840	1690.300	5162	17.2067
841	1692.342	5131	17.1033
842	1694.385	5114	17.0467
843	1696.427	5083	16.9433
844	1698.469	4987	16.6233
845	1700.511	4858	16.1933
846	1702.553	4692	15.64
847	1704.595	4646	15.4867
848	1706.638	4569	15.23
849	1708.680	4536	15.12
850	1710.722	4384	14.6133
851	1712.764	4140	13.8
852	1714.806	4038	13.46
853	1716.848	3792	12.64
854	1718.891	3617	12.0567
855	1720.933	3440	11.4667
856	1722.975	3308	11.0267
857	1725.017	3122	10.4067
858	1727.059	2994	9.98
859	1729.101	2858	9.52667
860	1731.144	2707	9.02333
861	1733.186	2522	8.40667
862	1735.228	2343	7.81
863	1737.270	2189	7.29667
864	1739.312	2043	6.81
865	1741.354	1817	6.05667
866	1743.397	1734	5.78
867	1745.439	1569	5.23
868	1747.481	1485	4.95
869	1749.523	1343	4.47667
870	1751.565	1275	4.25
871	1753.607	1123	3.74333
872	1755.650	1018	3.39333
873	1757.692	971	3.23667
874	1759.734	935	3.11667
875	1761.776	812	2.70667
876	1763.818	764	2.54667
877	1765.860	651	2.17
878	1767.903	633	2.11
879	1769.945	608	2.02667
880	1771.987	615	2.05
881	1774.029	513	1.71
882	1776.071	480	1.6
883	1778.113	445	1.48333
884	1780.156	416	1.38667
885	1782.198	391	1.30333
886	1784.240	366	1.22
887	1786.282	333	1.11
888	1788.324	325	1.08333
889	1790.366	320	1.06667
890	1792.409	292	0.973333
891	1794.451	324	1.08
892	1796.493	260	0.866667
893	1798.535	265	0.883333
894	1800.577	278	0.926667
895	1802.619	279	0.93
896	1804.662	263	0.876667
897	1806.704	274	0.913333
898	1808.746	257	0.856667
