#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-09-13, 14:35:32
# Real time (s): 516.628
# Live time (s): 300.000
#
# Total counts:  33020397
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  881395
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
538	1073.566	23	0.0766667
539	1075.608	26	0.0866667
540	1077.650	25	0.0833333
541	1079.692	26	0.0866667
542	1081.734	23	0.0766667
543	1083.777	20	0.0666667
544	1085.819	20	0.0666667
545	1087.861	18	0.06
546	1089.903	25	0.0833333
547	1091.945	15	0.05
548	1093.987	24	0.08
549	1096.030	16	0.0533333
550	1098.072	14	0.0466667
551	1100.114	19	0.0633333
552	1102.156	15	0.05
553	1104.198	11	0.0366667
554	1106.240	15	0.05
555	1108.283	6	0.02
556	1110.325	12	0.04
557	1112.367	13	0.0433333
558	1114.409	11	0.0366667
559	1116.451	16	0.0533333
560	1118.493	11	0.0366667
561	1120.536	11	0.0366667
562	1122.578	10	0.0333333
563	1124.620	8	0.0266667
564	1126.662	9	0.03
565	1128.704	4	0.0133333
566	1130.746	7	0.0233333
567	1132.789	11	0.0366667
568	1134.831	12	0.04
569	1136.873	13	0.0433333
570	1138.915	8	0.0266667
571	1140.957	10	0.0333333
572	1142.999	13	0.0433333
573	1145.042	5	0.0166667
574	1147.084	11	0.0366667
575	1149.126	10	0.0333333
576	1151.168	10	0.0333333
577	1153.210	7	0.0233333
578	1155.252	5	0.0166667
579	1157.295	10	0.0333333
580	1159.337	4	0.0133333
581	1161.379	2	0.00666667
582	1163.421	2	0.00666667
583	1165.463	5	0.0166667
584	1167.505	4	0.0133333
585	1169.548	7	0.0233333
586	1171.590	6	0.02
587	1173.632	6	0.02
588	1175.674	3	0.01
589	1177.716	6	0.02
590	1179.758	2	0.00666667
591	1181.801	6	0.02
592	1183.843	2	0.00666667
593	1185.885	3	0.01
594	1187.927	4	0.0133333
595	1189.969	7	0.0233333
596	1192.011	2	0.00666667
597	1194.054	3	0.01
598	1196.096	1	0.00333333
599	1198.138	3	0.01
600	1200.180	1	0.00333333
601	1202.222	7	0.0233333
602	1204.264	3	0.01
603	1206.307	3	0.01
604	1208.349	5	0.0166667
605	1210.391	1	0.00333333
606	1212.433	4	0.0133333
607	1214.475	3	0.01
608	1216.517	3	0.01
609	1218.560	2	0.00666667
610	1220.602	4	0.0133333
611	1222.644	2	0.00666667
612	1224.686	4	0.0133333
613	1226.728	4	0.0133333
614	1228.770	4	0.0133333
615	1230.813	3	0.01
616	1232.855	1	0.00333333
617	1234.897	6	0.02
618	1236.939	1	0.00333333
619	1238.981	2	0.00666667
620	1241.023	1	0.00333333
621	1243.066	4	0.0133333
622	1245.108	2	0.00666667
623	1247.150	1	0.00333333
624	1249.192	3	0.01
625	1251.234	2	0.00666667
626	1253.276	3	0.01
627	1255.319	3	0.01
628	1257.361	2	0.00666667
629	1259.403	1	0.00333333
630	1261.445	5	0.0166667
631	1263.487	3	0.01
632	1265.529	2	0.00666667
633	1267.572	2	0.00666667
634	1269.614	3	0.01
635	1271.656	3	0.01
636	1273.698	4	0.0133333
637	1275.740	1	0.00333333
638	1277.782	4	0.0133333
639	1279.825	3	0.01
640	1281.867	5	0.0166667
641	1283.909	3	0.01
642	1285.951	2	0.00666667
643	1287.993	3	0.01
644	1290.035	4	0.0133333
645	1292.078	3	0.01
646	1294.120	3	0.01
647	1296.162	3	0.01
648	1298.204	1	0.00333333
649	1300.246	2	0.00666667
650	1302.288	1	0.00333333
651	1304.331	2	0.00666667
652	1306.373	4	0.0133333
653	1308.415	1	0.00333333
654	1310.457	1	0.00333333
655	1312.499	3	0.01
656	1314.541	1	0.00333333
657	1316.584	1	0.00333333
658	1318.626	1	0.00333333
659	1320.668	2	0.00666667
660	1322.710	1	0.00333333
661	1324.752	1	0.00333333
662	1326.794	1	0.00333333
663	1328.837	3	0.01
664	1330.879	3	0.01
665	1332.921	0	0
666	1334.963	2	0.00666667
667	1337.005	4	0.0133333
668	1339.047	5	0.0166667
669	1341.090	2	0.00666667
670	1343.132	4	0.0133333
671	1345.174	3	0.01
672	1347.216	2	0.00666667
673	1349.258	2	0.00666667
674	1351.300	3	0.01
675	1353.343	1	0.00333333
676	1355.385	3	0.01
677	1357.427	3	0.01
678	1359.469	5	0.0166667
679	1361.511	1	0.00333333
680	1363.554	8	0.0266667
681	1365.596	3	0.01
682	1367.638	3	0.01
683	1369.680	1	0.00333333
684	1371.722	2	0.00666667
685	1373.764	4	0.0133333
686	1375.807	3	0.01
687	1377.849	0	0
688	1379.891	1	0.00333333
689	1381.933	1	0.00333333
690	1383.975	1	0.00333333
691	1386.017	3	0.01
692	1388.060	1	0.00333333
693	1390.102	2	0.00666667
694	1392.144	3	0.01
695	1394.186	4	0.0133333
696	1396.228	1	0.00333333
697	1398.270	3	0.01
698	1400.313	4	0.0133333
699	1402.355	2	0.00666667
700	1404.397	3	0.01
701	1406.439	3	0.01
702	1408.481	2	0.00666667
703	1410.523	2	0.00666667
704	1412.566	4	0.0133333
705	1414.608	2	0.00666667
706	1416.650	2	0.00666667
707	1418.692	0	0
708	1420.734	3	0.01
709	1422.776	3	0.01
710	1424.819	2	0.00666667
711	1426.861	3	0.01
712	1428.903	3	0.01
713	1430.945	2	0.00666667
714	1432.987	4	0.0133333
715	1435.029	3	0.01
716	1437.072	3	0.01
717	1439.114	3	0.01
718	1441.156	7	0.0233333
719	1443.198	2	0.00666667
720	1445.240	1	0.00333333
721	1447.282	1	0.00333333
722	1449.325	1	0.00333333
723	1451.367	6	0.02
724	1453.409	2	0.00666667
725	1455.451	3	0.01
726	1457.493	3	0.01
727	1459.535	3	0.01
728	1461.578	1	0.00333333
729	1463.620	1	0.00333333
730	1465.662	1	0.00333333
731	1467.704	1	0.00333333
732	1469.746	5	0.0166667
733	1471.788	3	0.01
734	1473.831	2	0.00666667
735	1475.873	1	0.00333333
736	1477.915	5	0.0166667
737	1479.957	2	0.00666667
738	1481.999	1	0.00333333
739	1484.041	1	0.00333333
740	1486.084	3	0.01
